,name,personality_type,I,N,T,P,F,J,S,E
0,Caribbean blue,ISFP,100,-1,-1,100,100,-1,100,-1
1,Tomato,ESTP,-1,-1,100,100,-1,-1,100,100
2,Octarine,ENFP,-1,100,-1,100,100,-1,-1,100
3,Fantase,ISFP,100,-1,-1,100,100,-1,100,-1
4,Aimaru,ESFJ,-1,-1,-1,-1,100,100,100,100
5,Omniet,ISTJ,100,-1,100,-1,-1,100,100,-1
6,Ultriar,ISFJ,100,-1,-1,-1,100,100,100,-1
7,Sculuz,INFJ,100,100,-1,-1,100,100,-1,-1
8,Redious,ESTJ,-1,-1,100,-1,-1,100,67,100
9,Orangic,ENFP,-1,100,-1,100,100,-1,-1,100
10,Greige,ISTJ,100,-1,100,-1,-1,100,75,-1
11,Dusted Peri,ISFJ,100,-1,-1,-1,100,100,100,-1
12,Wain,ESTP,-1,-1,67,100,-1,-1,100,100
13,Viva Magenta,ESFP,-1,-1,-1,75,50,-1,50,100
14,Truffle,ISFJ,100,-1,-1,-1,100,100,100,-1
15,Metallic,ESTJ,-1,-1,100,-1,-1,100,100,100
16,Hailey,ISFP,100,-1,-1,88,75,-1,100,-1
17,Spruce,INTP,100,90,80,70,-1,-1,-1,-1
18,Pantone,ENTJ,-1,67,100,-1,-1,100,-1,67
19,Gir Force Blue,ISTP,50,-1,67,67,-1,-1,83,-1
20,Ice Blue,ENFJ,-1,88,-1,-1,75,62,-1,75
21,Jean Blue,INTP,100,100,100,100,-1,-1,-1,-1
22,Plum,ENTJ,-1,100,100,-1,-1,100,-1,100
23,Vivid Tangerine,ESTP,-1,-1,100,100,-1,-1,100,100
24,Maya Blue,ENFJ,-1,100,-1,-1,100,57,-1,86
25,Tiffany Blue,ENFP,-1,95,-1,84,95,-1,-1,84
26,Palatinate Blue,ENTP,-1,67,83,83,-1,-1,-1,83
27,Polished Pine,ENFP,-1,83,-1,100,100,-1,-1,83
28,Artichoke,ISFP,90,-1,-1,71,57,-1,67,-1
29,Middle Blue,INFJ,89,89,-1,-1,89,89,-1,-1
30,Spanish Yellow,ESFP,-1,-1,-1,100,100,-1,83,83
31,Medium Violet-Red,ESFP,-1,-1,-1,57,71,-1,71,86
32,Citrine Brown,ISTP,71,-1,57,71,-1,-1,100,-1
33,Asparagus,ENFJ,-1,75,-1,-1,100,75,-1,75
34,Atomic tangerine,ENFJ,-1,67,-1,-1,100,67,-1,67
35,Avocado,ENFP,-1,44,-1,56,78,-1,-1,56
36,Alloy orange,ESTP,-1,-1,71,86,-1,-1,71,86
37,Glaucous,INFJ,100,100,-1,-1,100,100,-1,-1
38,Ebony,ENTJ,-1,100,100,-1,-1,100,-1,100
39,Android Green,INTP,75,100,100,100,-1,-1,-1,-1
40,Aero,ISFJ,60,-1,-1,-1,100,60,60,-1
41,Absolute Zero,ENFJ,-1,100,-1,-1,67,67,-1,67
42,Flaxen,ENFP,-1,100,-1,100,100,-1,-1,100
43,Tuscany,ISFP,83,-1,-1,83,83,-1,50,-1
44,Mink,INFJ,100,57,-1,-1,100,57,-1,-1
