,name,personality_type,I,N,T,P,F,J,S,E
0,Toastmaster,ENFJ,-1,100,-1,-1,100,100,-1,100
1,Podcaster,ENTP,-1,100,100,100,-1,-1,-1,100
2,Hypnotist,INFJ,100,100,-1,-1,100,100,-1,-1
3,Geriatric Psychologist,INFJ,100,100,-1,-1,100,100,-1,-1
4,Tech Recruiter,ENFJ,-1,100,-1,-1,100,67,-1,100
5,Urban Designer,INFJ,100,100,-1,-1,67,100,-1,-1
6,Arms Dealer,ESTP,-1,-1,100,100,-1,-1,80,80
7,Hairstylist,ESFP,-1,-1,-1,62,100,-1,88,88
8,Product Designer,ISFJ,100,-1,-1,-1,100,100,100,-1
9,Production Designer,INFJ,100,100,-1,-1,100,50,-1,-1
10,Zootechnist,ISFJ,67,-1,-1,-1,67,100,67,-1
11,Social Media Manager,ESTJ,-1,-1,86,-1,-1,71,71,100
12,Speech-Language Pathologist,ENFJ,-1,67,-1,-1,67,100,-1,67
13,Scullery Maid,ISFJ,100,-1,-1,-1,71,71,71,-1
14,Pharmaceutical Salesman,ENFJ,-1,100,-1,-1,75,100,-1,75
15,Zookeeper,ENFP,-1,100,-1,71,71,-1,-1,71
16,Clerk,ISTJ,100,-1,83,-1,-1,67,100,-1
17,Mafioso,ENTJ,-1,93,100,-1,-1,93,-1,79
18,Sports Club Manager,ESTJ,-1,-1,100,-1,-1,60,80,80
19,Creative Director,ENFJ,-1,100,-1,-1,80,80,-1,100
20,Gigolo,ENTP,-1,88,100,100,-1,-1,-1,88
21,Casino Owner,ENTJ,-1,86,100,-1,-1,71,-1,100
22,Hitchhiker,ENFP,-1,100,-1,100,100,-1,-1,100
23,Troubleshooter,INTP,91,82,100,91,-1,-1,-1,-1
24,Odd-job man,ISTP,100,-1,100,100,-1,-1,100,-1
25,Iconographer,INFJ,100,100,-1,-1,100,100,-1,-1
26,Autopsy Technician,ISTP,100,-1,100,62,-1,-1,88,-1
27,Telemarketer,ESFP,-1,-1,-1,83,67,-1,92,100
28,Stockbroker,ENTP,-1,82,95,45,-1,-1,-1,68
29,OB-GYN,ISTJ,67,-1,67,-1,-1,100,67,-1
30,Pedagogue,ESFJ,-1,-1,-1,-1,83,100,83,83
31,Forensic Cleaner,ISTP,91,-1,100,73,-1,-1,100,-1
32,Florist,ISFJ,83,-1,-1,-1,100,67,83,-1
33,Marine Mammal Trainer,ESFP,-1,-1,-1,100,100,-1,100,100
34,Quality Assurance Technician,ESTJ,-1,-1,100,-1,-1,100,75,100
35,Gambling Facility Manager,ESTP,-1,-1,100,83,-1,-1,100,100
36,Credit Analyst,ESTJ,-1,-1,100,-1,-1,100,100,100
37,Underwriter,INTJ,100,75,75,-1,-1,100,-1,-1
38,College President,ESTJ,-1,-1,83,-1,-1,83,67,100
39,Ballistics Expert,ISTP,93,-1,100,86,-1,-1,100,-1
40,Computer Science Professor,INTP,100,91,100,78,-1,-1,-1,-1
41,Talent Agent,ENFJ,-1,100,-1,-1,90,90,-1,100
42,College Administrator,ESTJ,-1,-1,80,-1,-1,100,100,80
43,Website Content Editor,INTP,100,91,73,82,-1,-1,-1,-1
44,Nun,ISFJ,94,-1,-1,-1,100,88,94,-1
45,Genealogist,ISFJ,100,-1,-1,-1,67,100,100,-1
46,Humanities Professor,INFJ,90,100,-1,-1,100,90,-1,-1
47,Corporate Trainer,ESTJ,-1,-1,67,-1,-1,100,83,100
