,name,personality_type,I,N,T,P,F,J,S,E
0,Bass House,ENTP,-1,100,83,100,-1,-1,-1,83
1,Hardwave,INTP,100,50,50,100,-1,-1,-1,-1
2,Polyriddim,ENFP,-1,100,-1,100,100,-1,-1,100
3,Bubblegum Dance,ESFP,-1,-1,-1,100,100,-1,100,100
4,Symphonic Black Metal,INTJ,100,100,100,-1,-1,83,-1,-1
5,Electronicore,INTP,100,100,100,100,-1,-1,-1,-1
6,Yé-yé,ISFP,100,-1,-1,100,100,-1,100,-1
7,Baggy,ENFP,-1,100,-1,100,100,-1,-1,100
8,Psychedelic Pop,ENFP,-1,100,-1,100,100,-1,-1,100
9,Steampunk,ENTP,-1,100,67,83,-1,-1,-1,83
10,Tecnobrega,ESFP,-1,-1,-1,100,100,-1,100,100
11,Candombe,ISFJ,100,-1,-1,-1,100,100,100,-1
12,Chamamé,ESFJ,-1,-1,-1,-1,100,100,100,50
13,Cuarteto,ESFP,-1,-1,-1,100,100,-1,88,100
14,Hardcore Breaks,ENTP,-1,100,100,100,-1,-1,-1,100
15,Horror Synth,INTJ,100,100,100,-1,-1,100,-1,-1
16,Porno Grind,ESTP,-1,-1,100,100,-1,-1,100,100
17,Unblack Metal,INFJ,100,100,-1,-1,100,100,-1,-1
18,Post-Industrial,INFJ,100,100,-1,-1,100,100,-1,-1
19,Synth Punk,ENTP,-1,100,100,100,-1,-1,-1,100
20,Fado,INFP,100,33,-1,100,67,-1,-1,-1
21,Polka,ENFP,-1,67,-1,67,67,-1,-1,67
22,Rap Battle,ENTP,-1,89,100,100,-1,-1,-1,100
23,Permanent Wave,ISTP,100,-1,100,100,-1,-1,100,-1
24,Black MIDI,INTP,100,100,100,100,-1,-1,-1,-1
25,Freak Folk,ENFP,-1,100,-1,100,100,-1,-1,100
26,Electroacoustic music,INTP,100,100,100,100,-1,-1,-1,-1
27,2 Tone,ISFP,100,-1,-1,100,100,-1,75,-1
28,Electro House,INTP,80,100,90,100,-1,-1,-1,-1
29,Japanese Jazz Fusion,ENFP,-1,100,-1,100,100,-1,-1,100
